Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=5.5 galactic dust with C/H = b_C = 30.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University

Thu Oct  3 23:05:09 EDT 2002
 
References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron)
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 1.798E-26 = M_dust per H nucleon (gram/H) for this dust model
 1.300E+02 = M_gas/M_dust for this dust model

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
2.951E-03 0.6812  0.9998 3.171E-22 5.621E+03
2.968E-03 0.6802  0.9998 3.190E-22 5.674E+03
2.985E-03 0.6791  0.9998 3.209E-22 5.726E+03
3.003E-03 0.6781  0.9998 3.228E-22 5.778E+03
3.020E-03 0.6770  0.9998 3.246E-22 5.830E+03
3.037E-03 0.6759  0.9998 3.263E-22 5.882E+03
3.055E-03 0.6748  0.9998 3.281E-22 5.934E+03
3.073E-03 0.6736  0.9998 3.298E-22 5.985E+03
3.090E-03 0.6726  0.9998 3.315E-22 6.036E+03
3.108E-03 0.6714  0.9998 3.332E-22 6.089E+03
3.126E-03 0.6701  0.9998 3.350E-22 6.146E+03
3.144E-03 0.6689  0.9998 3.368E-22 6.203E+03
3.162E-03 0.6676  0.9997 3.386E-22 6.260E+03
3.181E-03 0.6663  0.9997 3.404E-22 6.316E+03
3.199E-03 0.6650  0.9997 3.421E-22 6.373E+03
3.217E-03 0.6637  0.9997 3.438E-22 6.429E+03
3.236E-03 0.6625  0.9997 3.455E-22 6.485E+03
3.255E-03 0.6612  0.9997 3.472E-22 6.541E+03
3.273E-03 0.6598  0.9997 3.488E-22 6.598E+03
3.292E-03 0.6585  0.9997 3.504E-22 6.656E+03
3.311E-03 0.6571  0.9997 3.521E-22 6.714E+03
3.330E-03 0.6556  0.9997 3.537E-22 6.773E+03
3.350E-03 0.6542  0.9997 3.553E-22 6.832E+03
3.369E-03 0.6527  0.9997 3.568E-22 6.891E+03
3.388E-03 0.6512  0.9997 3.584E-22 6.950E+03
3.408E-03 0.6498  0.9997 3.599E-22 7.010E+03
3.428E-03 0.6483  0.9997 3.614E-22 7.069E+03
3.447E-03 0.6468  0.9997 3.629E-22 7.129E+03
3.467E-03 0.6453  0.9997 3.644E-22 7.188E+03
3.487E-03 0.6437  0.9997 3.659E-22 7.248E+03
3.508E-03 0.6422  0.9997 3.673E-22 7.308E+03
3.528E-03 0.6407  0.9997 3.688E-22 7.369E+03
3.548E-03 0.6391  0.9997 3.702E-22 7.430E+03
3.569E-03 0.6375  0.9997 3.716E-22 7.491E+03
3.589E-03 0.6359  0.9997 3.730E-22 7.552E+03
3.610E-03 0.6342  0.9997 3.743E-22 7.613E+03
3.631E-03 0.6326  0.9997 3.757E-22 7.675E+03
3.652E-03 0.6310  0.9997 3.770E-22 7.736E+03
3.673E-03 0.6294  0.9997 3.783E-22 7.797E+03
3.694E-03 0.6277  0.9997 3.796E-22 7.859E+03
3.715E-03 0.6260  0.9997 3.809E-22 7.921E+03
3.737E-03 0.6243  0.9997 3.821E-22 7.984E+03
3.758E-03 0.6226  0.9997 3.834E-22 8.046E+03
3.780E-03 0.6208  0.9997 3.846E-22 8.109E+03
3.802E-03 0.6190  0.9996 3.858E-22 8.172E+03
3.824E-03 0.6173  0.9996 3.869E-22 8.235E+03
3.846E-03 0.6155  0.9996 3.881E-22 8.298E+03
3.868E-03 0.6137  0.9996 3.892E-22 8.361E+03
3.890E-03 0.6120  0.9996 3.905E-22 8.424E+03
3.913E-03 0.6104  0.9996 3.917E-22 8.487E+03
3.936E-03 0.6087  0.9996 3.929E-22 8.550E+03
3.958E-03 0.6069  0.9996 3.940E-22 8.614E+03
3.981E-03 0.6050  0.9996 3.951E-22 8.677E+03
4.004E-03 0.6032  0.9996 3.961E-22 8.741E+03
4.027E-03 0.6012  0.9996 3.971E-22 8.805E+03
4.050E-03 0.5993  0.9996 3.980E-22 8.869E+03
4.074E-03 0.5973  0.9996 3.989E-22 8.933E+03
4.097E-03 0.5953  0.9996 3.998E-22 8.997E+03
4.121E-03 0.5933  0.9996 4.006E-22 9.061E+03
4.145E-03 0.5912  0.9996 4.013E-22 9.124E+03
4.169E-03 0.5889  0.9996 4.020E-22 9.188E+03
4.193E-03 0.5867  0.9996 4.026E-22 9.252E+03
4.217E-03 0.5846  0.9996 4.033E-22 9.316E+03
4.241E-03 0.5825  0.9996 4.040E-22 9.381E+03
4.266E-03 0.5805  0.9996 4.049E-22 9.445E+03
4.290E-03 0.5787  0.9996 4.059E-22 9.510E+03
4.315E-03 0.5770  0.9996 4.070E-22 9.574E+03
4.340E-03 0.5755  0.9996 4.083E-22 9.638E+03
4.365E-03 0.5742  0.9996 4.098E-22 9.703E+03
4.390E-03 0.5731  0.9995 4.114E-22 9.766E+03
4.416E-03 0.5716  0.9995 4.127E-22 9.830E+03
4.441E-03 0.6658  0.9997 3.555E-22 6.608E+03
4.467E-03 0.6630  0.9997 3.549E-22 6.650E+03
4.493E-03 0.6563  0.9997 3.501E-22 6.692E+03
4.519E-03 0.6499  0.9997 3.460E-22 6.735E+03
4.545E-03 0.6441  0.9997 3.424E-22 6.777E+03
4.571E-03 0.6401  0.9997 3.408E-22 6.820E+03
4.597E-03 0.6401  0.9997 3.429E-22 6.863E+03
4.624E-03 0.6416  0.9997 3.464E-22 6.905E+03
4.651E-03 0.6431  0.9996 3.500E-22 6.948E+03
4.677E-03 0.6445  0.9996 3.536E-22 6.990E+03
4.704E-03 0.6457  0.9996 3.569E-22 7.032E+03
4.732E-03 0.6467  0.9996 3.600E-22 7.074E+03
4.759E-03 0.6473  0.9996 3.628E-22 7.116E+03
4.786E-03 0.6473  0.9996 3.649E-22 7.157E+03
4.814E-03 0.6469  0.9996 3.665E-22 7.198E+03
4.842E-03 0.6462  0.9996 3.680E-22 7.239E+03
4.870E-03 0.6455  0.9995 3.693E-22 7.280E+03
4.898E-03 0.6447  0.9995 3.705E-22 7.321E+03
4.926E-03 0.6437  0.9995 3.716E-22 7.362E+03
4.955E-03 0.6426  0.9995 3.726E-22 7.404E+03
4.983E-03 0.6415  0.9995 3.734E-22 7.445E+03
5.012E-03 0.6403  0.9995 3.742E-22 7.486E+03
5.041E-03 0.6390  0.9995 3.750E-22 7.527E+03
5.070E-03 0.6377  0.9994 3.756E-22 7.567E+03
5.099E-03 0.6364  0.9994 3.762E-22 7.608E+03
5.129E-03 0.6350  0.9994 3.768E-22 7.648E+03
5.158E-03 0.6335  0.9994 3.773E-22 7.688E+03
5.188E-03 0.6323  0.9994 3.779E-22 7.727E+03
5.218E-03 0.6311  0.9994 3.785E-22 7.766E+03
5.248E-03 0.6298  0.9994 3.792E-22 7.805E+03
5.278E-03 0.6286  0.9994 3.798E-22 7.844E+03
5.309E-03 0.6273  0.9994 3.804E-22 7.884E+03
5.339E-03 0.6261  0.9993 3.810E-22 7.923E+03
5.370E-03 0.6248  0.9993 3.816E-22 7.962E+03
5.401E-03 0.6235  0.9993 3.822E-22 8.001E+03
